kym_event_id,path,roi_id,rel_path,parent_folder,grandparent_folder,event_type,i_start,i_peak,i_end,t_start,t_peak,t_end,score_peak,baseline_before,baseline_after,strength,nan_fraction_in_event,n_valid_in_event,duration_sec,machine_type,user_type,note
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|0,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,baseline_rise,0,1816.0,,0.01,8.247,,0.614,2.445,3.058,1.193,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|1,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,baseline_rise,0,1901.0,,0.01,8.633,,0.56,2.756,3.316,1.088,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|2,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,baseline_rise,0,2029.0,,0.01,9.213,,0.808,2.508,3.316,1.57,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|3,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,baseline_rise,0,2138.0,,0.01,9.708,,0.775,2.54,3.316,1.508,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|4,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,baseline_rise,0,3736.0,,0.01,16.956,,0.553,2.878,3.431,1.075,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|5,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,nan_gap,81,,148.0,0.378,,0.682,,,,0.156,0.5147058823529411,33.0,0.304,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|6,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,nan_gap,704,,768.0,3.203,,3.494,,,,0.116,0.4,39.0,0.29,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|7,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,baseline_drop,1182,1182.0,,5.372,5.372,,-0.595,3.431,2.836,1.157,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|8,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,baseline_drop,1763,1763.0,,8.007,8.007,,-0.794,3.207,2.414,1.543,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif|1|9,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0013.tif,1,14d Saline/20251020/20251020_A100_0013.tif,20251020,14d Saline,nan_gap,1783,,1839.0,8.098,,8.352,,,,0.102,0.4035087719298246,34.0,0.254,nan_gap,unreviewed,
