roi_id,vel_min,vel_max,vel_mean,vel_std,vel_se,vel_cv,vel_n_nan,vel_n_zero,vel_n_big,img_min,img_max,img_mean,img_std,path,file_name,parent_folder,grandparent_folder,rel_path,accepted,treatment,condition,date,_unique_row_id
1,1.7698862963933433,2.792789446305677,2.419035540291544,0.12486488959013269,0.0021112051417314756,0.051617633354441694,3999,0,1,36,1244,425.83755833333333,155.35848146905786,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0002.tif,20251014_A98_0002,20251014,14d Saline,14d Saline/20251014/20251014_A98_0002.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0002.tif|1
2,-5870810.5,2.792788505554199,-3048560.3265890866,2933224.6032196577,33876.73631018236,-0.9621671507158681,0,26,0,36,1244,425.83755833333333,155.35848146905786,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0002.tif,20251014_A98_0002,20251014,14d Saline,14d Saline/20251014/20251014_A98_0002.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0002.tif|2
1,0.1603547853307983,1.4191343792465174,0.7955223289678579,0.20656498132568016,0.0026696361159957225,0.2596595642936707,1510,0,53,0,918,277.76588771929823,106.07342178408257,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0003.tif,20251014_A98_0003,20251014,14d Saline,14d Saline/20251014/20251014_A98_0003.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0003.tif|1
2,-2.017207622528076,2.252335786819458,0.7100470492796032,0.3836390627763073,0.004533524681675804,0.5403009042366114,336,736,179,0,918,277.76588771929823,106.07342178408257,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0003.tif,20251014_A98_0003,20251014,14d Saline,14d Saline/20251014/20251014_A98_0003.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0003.tif|2
1,0.1511614977909817,1.3516633218375016,0.7426893014164203,0.23623545157651812,0.0029041196469180033,0.31808112911547476,880,0,203,30,830,225.78458333333333,103.01950481499311,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0004.tif,20251014_A98_0004,20251014,14d Saline,14d Saline/20251014/20251014_A98_0004.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0004.tif|1
2,-1.1115491390228271,2.343191146850586,0.7369597366135849,0.3356985540239863,0.003957069875197128,0.4555181746652265,300,275,198,30,830,225.78458333333333,103.01950481499311,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0004.tif,20251014_A98_0004,20251014,14d Saline,14d Saline/20251014/20251014_A98_0004.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0004.tif|2
1,0.0949420649786888,1.5174502720120038,0.7594764382304834,0.2337951661547345,0.00286654924738629,0.3078372868280913,845,0,330,0,732,182.0776576923077,94.28363750584778,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0005.tif,20251014_A98_0005,20251014,14d Saline,14d Saline/20251014/20251014_A98_0005.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0005.tif|1
2,-1.9288206100463867,3.056002140045166,0.8001120168612682,0.3681279603960555,0.0044183132163216204,0.4600955274239874,555,34,239,0,732,182.0776576923077,94.28363750584778,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0005.tif,20251014_A98_0005,20251014,14d Saline,14d Saline/20251014/20251014_A98_0005.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0005.tif|2
1,1.1510606520776885,2.7567120728979906,1.9543807222147354,0.3431836008777481,0.004088707360468374,0.1755971070410718,452,0,378,31,968,294.4383833333333,114.80588976441283,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0006.tif,20251014_A98_0006,20251014,14d Saline,14d Saline/20251014/20251014_A98_0006.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0006.tif|1
2,-3.066364288330078,3.6042420864105225,1.950908154031667,0.4741657244955159,0.005481043741652668,0.24304871734511152,13,103,156,31,968,294.4383833333333,114.80588976441283,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0006.tif,20251014_A98_0006,20251014,14d Saline,14d Saline/20251014/20251014_A98_0006.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0006.tif|2
